teacher_id,full_name,department_code,department_nom,up_code,status_metier,date_embauche
ENS001,Zineb Bouaziz,GL,Genie Logiciel,UP-GL,Enseignant,2024-01-14
ENS002,Youssef Rachedi,INFO,Informatique,UP-INFO,Enseignant,2025-01-02
ENS003,Tarik Haddi,RT,Reseaux & Cybersecurite,UP-RT,Attaché d'Enseignement et de Recherche,2025-02-02
ENS004,Fatima Habbal,GC,Genie Civil,UP-GC,Enseignant,2025-05-30
ENS005,Mohamed Cherif,WEB,Technologies du Web,UP-WEB,Enseignant,2022-09-30
ENS006,Younes Benali,SUP,Support Pedagogique,UP-SUP,Attaché d'Enseignement et de Recherche,2024-06-18
ENS007,Salima Benbouzid,GL,Genie Logiciel,UP-GL,Attaché d'Enseignement et de Recherche,2022-07-10
ENS008,Yassin Rachedi,INFO,Informatique,UP-INFO,Maître de Conférences,2022-04-11
ENS009,Salah Tahiri,RT,Reseaux & Cybersecurite,UP-RT,Enseignant,2024-09-07
ENS010,Salima Habbal,GC,Genie Civil,UP-GC,Maître de Conférences,2024-01-08
ENS011,Chaima Cherif,WEB,Technologies du Web,UP-WEB,Maître de Conférences,2025-01-02
ENS012,Mohamed Boukerra,SUP,Support Pedagogique,UP-SUP,Enseignant,2023-07-26
ENS013,Sami Khalfi,GL,Genie Logiciel,UP-GL,Attaché d'Enseignement et de Recherche,2024-02-05
ENS014,Adel Haddad,INFO,Informatique,UP-INFO,Attaché d'Enseignement et de Recherche,2023-01-02
ENS015,Rayan Bouaziz,RT,Reseaux & Cybersecurite,UP-RT,Maître de Conférences,2025-02-19
ENS016,Rayan Fertahi,GC,Genie Civil,UP-GC,Attaché d'Enseignement et de Recherche,2022-02-10
ENS017,Hiba Boufadly,WEB,Technologies du Web,UP-WEB,Maître de Conférences,2022-05-05
ENS018,Nour Errached,SUP,Support Pedagogique,UP-SUP,Enseignant,2025-04-28
ENS019,Tarik Rachedi,GL,Genie Logiciel,UP-GL,Maître de Conférences,2025-02-17
ENS020,Sami Rachedi,INFO,Informatique,UP-INFO,Enseignant,2023-06-13
ENS021,Salah Tazi,RT,Reseaux & Cybersecurite,UP-RT,Attaché d'Enseignement et de Recherche,2023-07-14
ENS022,Omar Khalfi,GC,Genie Civil,UP-GC,Maître de Conférences,2024-05-27
ENS023,Tarik Mansouri,WEB,Technologies du Web,UP-WEB,Attaché d'Enseignement et de Recherche,2021-09-30
ENS024,Zineb El Fassi,SUP,Support Pedagogique,UP-SUP,Attaché d'Enseignement et de Recherche,2022-01-07
ENS025,Omar Bouya,GL,Genie Logiciel,UP-GL,Attaché d'Enseignement et de Recherche,2024-03-16
ENS026,Omar Tazi,INFO,Informatique,UP-INFO,Maître de Conférences,2024-01-25
ENS027,Karim Benbouzid,RT,Reseaux & Cybersecurite,UP-RT,Attaché d'Enseignement et de Recherche,2022-06-16
ENS028,Youssef Amrani,GC,Genie Civil,UP-GC,Maître de Conférences,2025-04-07
ENS029,Youssef Benjelloun,WEB,Technologies du Web,UP-WEB,Enseignant,2023-10-23
ENS030,Dounia Mansouri,SUP,Support Pedagogique,UP-SUP,Enseignant,2024-05-24
